QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20190513_000017	在輔助魔法陣中注入魔力，讓它超載很有效呢。	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.				큐폴 율리아
QUEST_LV_0500_20190513_000018	啊…都是因為我們，梅德依那女神她…	아.. 저희 때문에 메데이나님이..				큐폴 율리아
QUEST_LV_0500_20190513_000019	梅德依那女神…	메데이나님..				큐폴 일로나
QUEST_LV_0500_20190513_000020	我來得太晚了…	제가 너무 늦었어요..				큐폴 아스트라
QUEST_LV_0500_20190513_000021	雖然梅德依那女神被卡魯塔斯抓走了…{nl}啟示者熱心幫助我們尋找梅德依那女神的事，我們會銘記在心的。	비록 메데이나님이 카르타스에게 붙잡혀 가셨지만..{nl}저희는 계시자님께서 메데이나님을 찾는 일에 적극적으로 도와주신 것을 기억하고 있어요.{nl}				큐폴 아스트라
QUEST_LV_0500_20200128_000022	等你準備好面對吉特涅時再來找我。{nl}	당신이 길티네에게 맞설 준비가 된다면 그때 저를 다시 찾아오십시오.{nl}				여신 라이마
QUEST_LV_0500_20200128_000023	完全沒料想到會在這裡碰見魔神羅迦娜和魔王巴以卡。	마신 라가나와 마왕 바이가를 여기서 마주칠 거라고는 전혀 예상하지 못했습니다.				여신 아우스테야
QUEST_LV_0500_20200128_000024	和巴以卡談話的時候最好要小心。	바이가와 이야기할 때는 조심하시는 게 좋겠어요.				여신 아우스테야
QUEST_LV_0500_20200128_000025	在你對付啟示者時，我會一個人在這裡找神樹的樹根。	일단은 계시자님이 바이가를 상대하는 동안 저 혼자서라도 이곳에서 신수의 뿌리를 찾아볼게요.				여신 아우스테야
QUEST_LV_0500_20200128_000026	還有，你要小心巴以卡。{nl}不能完全相信他。	그리고 바이가를 조심하세요.{nl}그를 온전히 믿어서는 안 됩니다.				여신 아우스테야
QUEST_LV_0500_20200128_000027	原來你平安無事。{nl}這一帶我都看過了…找不到神樹的樹根。	무사하셨군요.{nl}이 지역을 모두 확인해 봤지만.. 신수의 뿌리는 찾을 수 없었어요.				여신 아우스테야
QUEST_LV_0500_20200128_000028	梅德依那的情況非常危急。{nl}無法想像她這段時間因為卡魯塔斯受到了多大的折磨。	메데이나님의 상태가 많이 위독해요.{nl}그동안 카르타스에게 얼마나 끔찍한 고통을 받았는지 감히 상상도 할 수 없을 것 같아요.				큐폴
QUEST_LV_0500_20200128_000029	絕對無法原諒卡魯塔斯…{nl}一定要讓他得到淒慘的下場。	카르타스를 절대 용서할 수 없어요..{nl}그는 반드시 비참한 최후를 맞이하게 될 겁니다.				큐폴
QUEST_LV_0500_20200128_000030	消滅努卡戰士、努歐暗殺者	누카 전사, 누오 암살자 처치				
QUEST_LV_0500_20200128_000031	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在特比勒圖瑪斯要塞消滅努卡戰士、努歐暗殺者。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000032	消滅艾可拉斯沛達爾戰士	아클라스 페탈 전사 처치				
QUEST_LV_0500_20200128_000033	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在特比勒圖瑪斯要塞消滅艾可拉斯沛達爾戰士。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000034	消滅生靈盔甲	리빙 아머 처치				
QUEST_LV_0500_20200128_000035	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在特比勒圖瑪斯要塞消滅生靈盔甲。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000036	消滅伊嘉蘭卡	일가란카 처치				
QUEST_LV_0500_20200128_000037	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在特比勒圖瑪斯要塞消滅伊嘉蘭卡。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000038	消滅普洛格斯哥布林騎士、內克	블로거즈 고블린 라이더, 넥코 처치				
QUEST_LV_0500_20200128_000039	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在斯卡爾達外城消滅普洛格斯哥布林騎士、內克。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000040	消滅灰狼	그레이 울프 처치				
QUEST_LV_0500_20200128_000041	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在斯卡爾達外城消滅灰狼。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000042	消滅普洛格斯哥布林弓箭手	블로거즈 고블린 궁수 처치				
QUEST_LV_0500_20200128_000043	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在斯卡爾達外城消滅普洛格斯哥布林弓箭手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000044	消滅灰狼首領	그레이 울프 치프 처치				
QUEST_LV_0500_20200128_000045	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在斯卡爾達外城消滅灰狼首領。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000046	消滅半獸人殺手	오크 살수병 처치				
QUEST_LV_0500_20200128_000047	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在林克斯瑪斯廢墟消滅半獸人殺手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000048	消滅半獸人咒術師	오크 주술사 처치				
QUEST_LV_0500_20200128_000049	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在林克斯瑪斯廢墟消滅半獸人咒術師。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000050	消滅半獸人盾兵	오크 방패병 처치				
QUEST_LV_0500_20200128_000051	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在林克斯瑪斯廢墟消滅半獸人盾兵。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000052	消滅半獸人隊長	오크 리더 처치				
QUEST_LV_0500_20200128_000053	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在林克斯瑪斯廢墟消滅半獸人隊長。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000054	消滅林克斯瑪斯廢墟的怪物	링크스마스 폐허의 몬스터 처치				
QUEST_LV_0500_20200128_000055	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在林克斯瑪斯廢墟消滅足夠數量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000056	消滅半獸人重炮手	오크 캐논병 처치				
QUEST_LV_0500_20200128_000057	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在終結之路消滅 半獸人重炮手。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 캐논병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000058	消滅半獸人旗幟兵	오크 깃발병 처치				
QUEST_LV_0500_20200128_000059	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在終結之路消滅 半獸人旗幟兵。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 깃발병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000060	消滅半獸人首領	오크 대장 처치				
QUEST_LV_0500_20200128_000061	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在終結之路消滅半獸人首領。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 대장 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000062	消滅終結之路的怪物	종언의 길의 몬스터 처치				
QUEST_LV_0500_20200128_000063	由於柯拉佩達委託所傳達員蘭達的委託。{nl}必須在終結之路消滅足夠數量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000064	由於柯拉佩達委託所傳達員蘭達的委託，必須在特比勒圖瑪斯要塞消滅努卡戰士、努歐暗殺者。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000065	由於柯拉佩達委託所傳達員蘭達的委託，必須在特比勒圖瑪斯要塞消滅艾可拉斯沛達爾戰士。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000066	由於柯拉佩達委託所傳達員蘭達的委託，必須在特比勒圖瑪斯要塞消滅生靈盔甲。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000067	由於柯拉佩達委託所傳達員蘭達的委託，必須在特比勒圖瑪斯要塞消滅伊嘉蘭卡。	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000068	由於柯拉佩達委託所傳達員蘭達的委託，必須在斯卡爾達外城消滅普洛格斯哥布林騎士、內克。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000069	由於柯拉佩達委託所傳達員蘭達的委託，必須在斯卡爾達外城消滅灰狼。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000070	由於柯拉佩達委託所傳達員蘭達的委託，必須在斯卡爾達外城消滅普洛格斯哥布林弓箭手。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000071	由於柯拉佩達委託所傳達員蘭達的委託，必須在斯卡爾達外城消滅灰狼首領。	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000072	由於柯拉佩達委託所傳達員蘭達的委託，必須在林克斯瑪斯廢墟消滅半獸人殺手。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000073	由於柯拉佩達委託所傳達員蘭達的委託，必須在林克斯瑪斯廢墟消滅半獸人咒術師。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000074	由於柯拉佩達委託所傳達員蘭達的委託，必須在林克斯瑪斯廢墟消滅半獸人盾兵。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000075	由於柯拉佩達委託所傳達員蘭達的委託，必須在林克斯瑪斯廢墟消滅半獸人隊長。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000076	由於柯拉佩達委託所傳達員蘭達的委託，必須在林克斯瑪斯廢墟消滅足夠數量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000077	由於柯拉佩達委託所傳達員蘭達的委託，必須在終結之路消滅半獸人重炮手。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 캐논병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000078	由於柯拉佩達委託所傳達員蘭達的委託，必須在終結之路消滅半獸人旗幟兵。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 깃발병 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000079	由於柯拉佩達委託所傳達員蘭達的委託，必須在終結之路消滅半獸人首領。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 대장 처치를 수행해야 합니다.				
QUEST_LV_0500_20200128_000080	由於柯拉佩達委託所傳達員蘭達的委託，必須在終結之路消滅足夠數量的怪物。	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.				
QUEST_LV_0500_20200324_000081	等一下，你是啟示者嗎?	잠시만요, 혹시 계시자인가요?				세이지 파견원
QUEST_LV_0500_20200324_000082	大事不好了。{nl}神樹之日以後，次元經常出現破壞的現象。{nl}	큰일입니다.{nl}신수의 날 이후로 종종 차원이 붕괴하는 현상이 나타나고 있어요.{nl}				세이지 파견원
QUEST_LV_0500_20200324_000083	不僅如此，附近的怪物們正加速著崩壞。{nl}如不阻止這一切，次元崩壞會蔓延至大陸全區域的。{nl}靠我一個人要阻止這件事情實在太困難了，所以我正請求啟示者們的協助。{nl}拜託你了。	더군다나 근처의 몬스터들이 붕괴를 가속하고 있죠.{nl}막지 않으면 차원 붕괴가 대륙 전역으로 번질 거예요.{nl}저 혼자서는 벅찬일이라 계시자들에게 도움을 구하고 있습니다.{nl}이렇게 부탁드립니다.				세이지 파견원
QUEST_LV_0500_20200324_000084	請勿被捲進次元崩壞裡而喪失性命。{nl}如尚未準備妥當，請勿前往靠近。	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.				세이지 파견원
QUEST_LV_0500_20200324_000085	阻止次元崩壞	차원 붕괴 저지				
QUEST_LV_0500_20200324_000086	表示是啟示者	계시자가 맞다고 한다.				
QUEST_LV_0500_20200324_000087	表示非啟示者	계시자가 아니라고 한다.				
QUEST_LV_0500_20200324_000088	與賢者派遣員對話。	세이지 파견원과 대화하기.				
QUEST_LV_0500_20200324_000089	位於廢都的賢者派遣員正在分發某個東西給啟示者們，請去與賢者派遣員對話。	폐도에 위치한 세이지 파견원이 계시자들에게 무언가를 지급하고 있습니다. 세이지 파견원과 대화하세요.				
QUEST_LV_0500_20200723_000090	我們在這裡調查最近發生的寒流現象。{nl}	저희는 여기서 최근에 일어난 한파 현상에 대해 조사하고 있습니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000091	經過三次的調查，終於知道絕壁下方的魔族就是造成寒流的原因。{nl}	세 차례에 걸친 조사로 이 절벽 아래에 있는 마족이 한파의 원인이라는 건 알아냈습니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000092	魔族的名字是...{nl}	마족의 이름은..{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000093	格萊伊希歐。{nl}	글레이시어.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000094	是一個叫格萊伊希歐的魔族。{nl}而且我們還發現到在特殊裝置上漂浮的黑色水晶。{nl}雖然不確定其來歷，但卻濃縮著強大的魔力。{nl}	글레이시어라고 하는 마족입니다.{nl}그리고 특별한 장치 위에 떠 있는 검은 수정도 발견했습니다.{nl}정체가 확실하지는 않지만, 강한 마력을 응축하고 있었습니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000095	幾次曾試圖討伐格萊伊希歐，但都沒有突破寒流和魔族的攻勢。{nl}	몇 차례 글레이시어 토벌을 시도했지만, 한파와 마족의 공세를 뚫는 데 실패했습니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000096	有聽說過啟示者們的活躍表現。{nl}請幫助我們消滅格萊伊希歐。	계시자들의 활약상은 들었습니다.{nl}글레이시어  처치를 도와주십시오.				크루세이더 마스터
QUEST_LV_0500_20200723_000097	那麼，請做好前往絕壁下方的準備後再見面吧。	그럼, 절벽 아래로 내려갈 준비를 마친 후 다시 뵙겠습니다.				크루세이더 마스터
QUEST_LV_0500_20200723_000098	前往絕壁下方後，很難再請求支援。{nl}而且要突破格萊伊希歐所掀起的寒流，應該也很困難。{nl}	절벽 아래로 내려간다면, 추가 지원을 요청하기는 힘들 겁니다.{nl}글레이시어가 일으키고 있는 한파를 버젓이 뚫고 가기도 쉽지 않을 겁니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000099	我們可以助你在此搭乘鐵籠車，安全抵達絕壁下方。{nl}	저희는 여기서 계시자님이 철창을 타고 절벽 아래로 무사히 내려갈 수 있도록 돕겠습니다.{nl}				크루세이더 마스터
QUEST_LV_0500_20200723_000100	格萊伊希歐就拜託你了。	글레이시어를 잘 부탁합니다.				크루세이더 마스터
QUEST_LV_0500_20200723_000101	啟示者。{nl}能給我一點時間嗎？{nl}	계시자님.{nl}잠시 시간 좀 내주시겠습니까?{nl}				크루세이더 파견원
QUEST_LV_0500_20200723_000102	上次在調查絕壁下方時發現了幾個問題。{nl}其中，這紅色液體...{nl}在那寒冷當中竟然沒有結凍，只有結一層薄冰而已。{nl}	지난 번, 절벽 아래를 조사하는 중에 몇 가지를 발견한 게 있습니다.{nl}그중 이 붉은 액체..{nl}그 추위 속에서 얼지 않고 살얼음만 띄고 있더군요.{nl}				크루세이더 파견원
QUEST_LV_0500_20200723_000103	覺得有點可疑，所以採集了一些。{nl}如果有人可以委託分析的話，就交給啟示者你了。	아무래도 심상치 않아 채취했습니다.{nl}혹시 분석을 맡길 만한 사람이 있다면 계시자님께 맡기겠습니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000104	謝謝。{nl}分析完畢後，請再來找我。	감사합니다.{nl}분석이 완료되면 다시 저를 찾아와 주세요.				크루세이더 파견원
QUEST_LV_0500_20200723_000105	你是說分析溶液嗎？{nl}雖然不是什麼難事，但有股不祥的感覺。{nl}	용액을 분석해 달라는 말씀이신가요?{nl}어려운 일은 아니지만, 불길한 짐작이 드는군요.{nl}				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000106	為了準確的分析，我需要植物。{nl}附近不管什麼都可以，能幫我找一個嗎？{nl}這麼說來，正好離這裡不遠的地方有個長長的植物，就幫我找那個吧。	확실히 하기 위해서는 식물이 필요합니다.{nl}근처에서 어떤 것이든 상관없으니 하나만 구해주시겠습니까?{nl}그러고 보니 마침, 여기서 멀지 않은 쪽에 길게 자란 식물이 있으니 그게 좋겠네요.				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000107	分析完畢後，請再來找我。	분석이 완료되면 다시 저를 찾아와 주세요.				크루세이더 파견원
QUEST_LV_0500_20200723_000108	這是...nl}	이건..{nl}				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000109	看來這應該是克魯比那。{nl}我曾經有聽說過。{nl}雖然是液體的形態…我還是第一次實際看到克魯比那。{nl}	아무래도 크루비나인 것 같군요.{nl}소문으로 들은 적이 있습니다.{nl}액체의 형태이지만.. 실제로 보는 건 처음이군요.{nl}				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000110	只是這裡混雜著更多的血液。{nl}看來…應該是本來在某個人的身體裡，然後隨著血液一起吐出來的。{nl}	다만, 여기에는 피가 더 많이 섞여 있습니다.{nl}아무래도.. 누군가의 몸에 있다가 피와 함께 토해낸 거로 생각합니다.{nl}				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000111	比如說….那位叫格萊伊希歐的魔族。{nl}	이를테면.. 말씀하신 글레이시어라는 마족이겠네요.{nl}				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000112	這是不吉利的徵兆啊。	안 좋은 징조입니다.				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000113	希望你能抱著負責任的態度去調查這件事情。{nl}如果是這種東西，不可能只有平凡的魔族會想要擁有它。	이번 일에 대해서 책임을 갖고 조사해주시기를 부탁드립니다.{nl}이런 물건이라면 평범한 마족 정도만 탐낼 물건이 아닐 겁니다.				플레이그 닥터 마스터
QUEST_LV_0500_20200723_000114	你回來啦?{nl}	오셨습니까?{nl}				크루세이더 파견원
QUEST_LV_0500_20200723_000115	知道了。{nl}有關溶液的處理和調查就交給我們來負責。{nl}非常感謝你的幫忙。	알겠습니다.{nl}이 용액에 대한 처리와 조사는 저희가 맡겠습니다.{nl}도와주셔서 정말 감사합니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000116	啟示者。{nl}聽說在史圖卡斯高原野營地駐紮的士兵當中，有目擊到可疑女人的消息。	계시자님.{nl}스토가스 고원의 야영지에 주둔한 병사 중에서 의문의 여인에 대한 목격담을 이야기했다는 소식을 들었습니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000117	我收到了待在原地的命令。{nl}因為這是沒有對大師報告的調查，所以我也很難去行動。{nl}你可以代替我去看看野營地的士兵嗎？	저는 현 위치를 유지하라는 명령을 받았습니다.{nl}아무래도 마스터님에게는 보고하지 않은 조사라 제가 움직이기는 힘들 것 같습니다.{nl}저를 대신해 야영지의 병사들을 만나봐 주실 수 있으실까요?				크루세이더 파견원
QUEST_LV_0500_20200723_000118	非常感謝你的幫忙。{nl}去找位於野營地的史圖卡斯分隊長阿德斯，你做事情會比較輕鬆。	도와주셔서 정말 감사합니다.{nl}야영지에 있는 스토가스 분대장 아데스라는 사람을 찾아보시면 수고를 줄이실 수 있으실 겁니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000119	你是聽到有關目擊到可疑女人而來的嗎？	의문의 여인에 대한 목격담을 듣고 오셨다고요?				스토가스 분대장 아데스
QUEST_LV_0500_20200723_000120	我記得非常清楚。{nl}奇怪的是，她哭著說希望有誰能幫助她，但卻無視了想要幫助她的我們。{nl}然後又自言自語地說都沒有人要幫助自己。{nl}感覺精神上好像有點問題。	분명히 기억하고 있어요.{nl}이상했던 게, 누구든지 자신을 도와달라며 울면서도 도와주려는 저희를 무시하는 듯했었죠.{nl}그러면서 아무도 자신을 돕지 않는다며 중얼거리기도 했습니다.{nl}제정신 같지가 않았어요.				스토가스 분대장 아데스
QUEST_LV_0500_20200723_000121	很難理解的話，你可以問看看高原士兵莫提爾。{nl}發現那個女人的就是莫提爾。	이해하기 힘드시다면, 고원병사 모티머에게 물어보시면 됩니다.{nl}그 여인을 발견했던 게 바로 모티머였습니다.				스토가스 분대장 아데스
QUEST_LV_0500_20200723_000122	去找位於野營地的史圖卡斯分隊長阿德斯，你做事情會比較容易。	야영지에 있는 스토가스 분대장 아데스라는 사람을 찾아보시면 수고를 줄이실 수 있으실 겁니다.				크루세이더 파견원
QUEST_LV_0500_20200723_000123	有什麼事情嗎？	무슨 일이시죠?				고원병사 모티머
